,Date,Daily Confirmed ,False Positives Found,Cumulative Confirmed,Daily Discharged,Passed but not due to COVID,Cumulative Discharged,Discharged to Isolation,Still Hospitalised,Daily Deaths,Cumulative Deaths,Tested positive demise,Daily Imported,Daily Local transmission,Local cases residing in dorms MOH report,Local cases not residing in doms MOH report,Intensive Care Unit (ICU),General Wards MOH report,In Isolation MOH report,Total Completed Isolation MOH report,Total Hospital Discharged MOH report,Period
0,23-Jan,1,,1,0,0,0,0,1,0,0,0,1,0,,,0,,,,,Pre-DORSCON
1,24-Jan,2,,3,0,0,0,0,3,0,0,0,2,0,,,0,,,,,Pre-DORSCON
2,25-Jan,1,,4,0,0,0,0,4,0,0,0,1,0,,,0,,,,,Pre-DORSCON
3,26-Jan,0,,4,0,0,0,0,4,0,0,0,0,0,,,0,,,,,Pre-DORSCON
4,27-Jan,1,,5,0,0,0,0,5,0,0,0,1,0,,,0,,,,,Pre-DORSCON
5,28-Jan,2,,7,0,0,0,0,7,0,0,0,2,0,,,0,,,,,Pre-DORSCON
6,29-Jan,3,,10,0,0,0,0,10,0,0,0,3,0,,,0,,,,,Pre-DORSCON
7,30-Jan,3,,13,0,0,0,0,13,0,0,0,3,0,,,0,,,,,Pre-DORSCON
8,31-Jan,3,,16,0,0,0,0,16,0,0,0,3,0,,,0,,,,,Pre-DORSCON
9,1-Feb,2,,18,0,0,0,0,18,0,0,0,2,0,,,0,,,,,Pre-DORSCON
10,2-Feb,0,,18,0,0,0,0,18,0,0,0,0,0,,,0,,,,,Pre-DORSCON
11,3-Feb,0,,18,0,0,0,0,18,0,0,0,0,0,,,0,,,,,Pre-DORSCON
12,4-Feb,6,,24,1,0,1,0,23,0,0,0,2,4,,,0,,,,,Pre-DORSCON
13,5-Feb,4,,28,0,0,1,0,27,0,0,0,1,3,,,0,,,,,Pre-DORSCON
14,6-Feb,2,,30,0,0,1,0,29,0,0,0,0,2,,,1,,,,,Pre-DORSCON
15,7-Feb,3,,33,1,0,2,0,31,0,0,0,0,3,,,2,,,,,DORSCON
16,8-Feb,7,,40,0,0,2,0,38,0,0,0,0,7,,,4,,,,,DORSCON
17,9-Feb,3,,43,4,0,6,0,37,0,0,0,0,3,,,6,,,,,DORSCON
18,10-Feb,2,,45,1,0,7,0,38,0,0,0,1,1,,,7,,,,,DORSCON
19,11-Feb,2,,47,2,0,9,0,38,0,0,0,0,2,,,7,,,,,DORSCON
20,12-Feb,3,,50,6,0,15,0,35,0,0,0,0,3,,,8,,,,,DORSCON
21,13-Feb,8,,58,0,0,15,0,43,0,0,0,0,8,,,7,,,,,DORSCON
22,14-Feb,9,,67,2,0,17,0,50,0,0,0,0,9,,,6,,,,,DORSCON
23,15-Feb,5,,72,1,0,18,0,54,0,0,0,0,5,,,6,,,,,DORSCON
24,16-Feb,3,,75,1,0,19,0,56,0,0,0,0,3,,,5,,,,,DORSCON
25,17-Feb,2,,77,5,0,24,0,53,0,0,0,1,1,,,4,,,,,DORSCON
26,18-Feb,4,,81,5,0,29,0,52,0,0,0,0,4,,,4,,,,,DORSCON
27,19-Feb,3,,84,5,0,34,0,50,0,0,0,0,3,,,4,,,,,DORSCON
28,20-Feb,1,,85,3,0,37,0,48,0,0,0,0,1,,,4,,,,,DORSCON
29,21-Feb,1,,86,10,0,47,0,39,0,0,0,0,1,,,5,,,,,DORSCON
30,22-Feb,3,,89,2,0,49,0,40,0,0,0,1,2,,,5,,,,,DORSCON
31,23-Feb,0,,89,2,0,51,0,38,0,0,0,0,0,,,5,,,,,DORSCON
32,24-Feb,1,,90,2,0,53,0,37,0,0,0,0,1,,,7,,,,,DORSCON
33,25-Feb,1,,91,5,0,58,0,33,0,0,0,0,1,,,7,,,,,DORSCON
34,26-Feb,2,,93,4,0,62,0,31,0,0,0,0,2,,,7,,,,,DORSCON
35,27-Feb,3,,96,4,0,66,0,30,0,0,0,0,3,,,8,,,,,DORSCON
36,28-Feb,2,,98,3,0,69,0,29,0,0,0,0,2,,,7,,,,,DORSCON
37,29-Feb,4,,102,3,0,72,0,30,0,0,0,0,4,,,7,,,,,DORSCON
38,1-Mar,4,,106,2,0,74,0,32,0,0,0,0,4,,,7,,,,,DORSCON
39,2-Mar,2,,108,4,0,78,0,30,0,0,0,0,2,,,6,,,,,DORSCON
40,3-Mar,2,,110,0,0,78,0,32,0,0,0,0,2,,,7,,,,,DORSCON
41,4-Mar,2,,112,1,0,79,0,33,0,0,0,0,2,,,7,,,,,DORSCON
42,5-Mar,5,,117,2,0,81,0,36,0,0,0,1,4,,,7,,,,,DORSCON
43,6-Mar,13,,130,1,0,82,0,48,0,0,0,2,11,,,9,,,,,DORSCON
44,7-Mar,8,,138,8,0,90,0,48,0,0,0,2,6,,,8,,,,,DORSCON
45,8-Mar,12,,150,0,0,90,0,60,0,0,0,1,11,,,9,,,,,DORSCON
46,9-Mar,10,,160,3,0,93,0,67,0,0,0,3,7,,,10,,,,,DORSCON
47,10-Mar,6,,166,0,0,93,0,73,0,0,0,0,6,,,12,,,,,DORSCON
48,11-Mar,12,,178,3,0,96,0,82,0,0,0,8,4,,,9,,,,,DORSCON
49,12-Mar,9,,187,0,0,96,0,91,0,0,0,5,4,,,9,,,,,DORSCON
50,13-Mar,13,,200,1,0,97,0,103,0,0,0,9,4,,,11,,,,,DORSCON
51,14-Mar,12,,212,8,0,105,0,107,0,0,0,9,3,,,14,,,,,DORSCON
52,15-Mar,14,,226,0,0,105,0,121,0,0,0,9,5,,,13,,,,,DORSCON
53,16-Mar,17,,243,4,0,109,0,134,0,0,0,11,6,,,13,,,,,DORSCON
54,17-Mar,23,,266,5,0,114,0,152,0,0,0,17,6,,,14,,,,,DORSCON
55,18-Mar,47,,313,3,0,117,0,196,0,0,0,33,14,,,15,,,,,DORSCON
56,19-Mar,32,,345,7,0,124,0,221,0,0,0,24,8,,,15,,,,,DORSCON
57,20-Mar,40,,385,7,0,131,0,254,0,0,0,30,10,,,16,238.0,0.0,0.0,131.0,DORSCON
58,21-Mar,47,,432,9,0,140,0,290,2,2,0,39,8,,,14,276.0,0.0,0.0,140.0,DORSCON
